Name,City,State,Category,Entry_Price_MYR,Latitude,Longitude
Petronas Twin Towers,Kuala Lumpur,Kuala Lumpur,Landmark,98,3.1579,101.7116
KL Tower (Menara KL),Kuala Lumpur,Kuala Lumpur,Landmark,65,3.1528,101.7038
Aquaria KLCC,Kuala Lumpur,Kuala Lumpur,Museum,69,3.158,101.7123
National Museum (Muzium Negara),Kuala Lumpur,Kuala Lumpur,Museum,5,3.1367,101.6885
Islamic Arts Museum Malaysia,Kuala Lumpur,Kuala Lumpur,Museum,20,3.1424,101.6889
KL Bird Park,Kuala Lumpur,Kuala Lumpur,Nature,75,3.1417,101.6889
KL Butterfly Park,Kuala Lumpur,Kuala Lumpur,Nature,25,3.1428,101.6878
Merdeka Square,Kuala Lumpur,Kuala Lumpur,Landmark,0,3.1478,101.6939
Central Market,Kuala Lumpur,Kuala Lumpur,Cultural,0,3.1435,101.696
Thean Hou Temple,Kuala Lumpur,Kuala Lumpur,Religious,0,3.118,101.682
National Mosque (Masjid Negara),Kuala Lumpur,Kuala Lumpur,Religious,0,3.142,101.6931
Zoo Negara,Kuala Lumpur,Kuala Lumpur,Nature,65,3.211,101.758
Sunway Lagoon,Petaling Jaya,Selangor,Theme Park,180,3.0655,101.607
Batu Caves,Gombak,Selangor,Religious,0,3.2379,101.684
Farm in the City,Selayang,Selangor,Nature,45,3.2611,101.6483
Skytrex Adventure Shah Alam,Shah Alam,Selangor,Adventure,55,3.0733,101.5185
i-City Shah Alam,Shah Alam,Selangor,Theme Park,25,3.0653,101.4996
Kuala Selangor Firefly Park,Kuala Selangor,Selangor,Nature,25,3.3494,101.2469
Sultan Salahuddin Abdul Aziz Mosque (Blue Mosque),Shah Alam,Selangor,Religious,0,3.0733,101.5185
Bukit Melawati,Kuala Selangor,Selangor,Nature,0,3.3467,101.2469
Putrajaya Botanical Garden,Putrajaya,Putrajaya,Nature,0,2.9403,101.7178
Putra Mosque,Putrajaya,Putrajaya,Religious,0,2.9366,101.6906
Putrajaya Lake Cruise,Putrajaya,Putrajaya,Adventure,25,2.9264,101.6964
Millennium Monument,Putrajaya,Putrajaya,Landmark,0,2.9358,101.69
Port Dickson Beach,Port Dickson,Negeri Sembilan,Beach,0,2.5228,101.7958
Seremban Lake Gardens,Seremban,Negeri Sembilan,Nature,0,2.7167,101.942
Army Museum Port Dickson,Port Dickson,Negeri Sembilan,Museum,5,2.5167,101.7961
A Famosa Fort,Melaka City,Melaka,Cultural,0,2.1908,102.25
Jonker Street,Melaka City,Melaka,Cultural,0,2.1962,102.2469
Melaka River Cruise,Melaka City,Melaka,Adventure,25,2.1938,102.2467
St. Paul's Hill,Melaka City,Melaka,Cultural,0,2.1908,102.2489
Baba Nyonya Heritage Museum,Melaka City,Melaka,Museum,18,2.1955,102.2478
Melaka Straits Mosque,Melaka City,Melaka,Religious,0,2.1783,102.2481
Taming Sari Tower,Melaka City,Melaka,Landmark,23,2.19,102.2494
A Famosa Water World,Alor Gajah,Melaka,Theme Park,68,2.3572,102.1039
Legoland Malaysia,Nusajaya,Johor,Theme Park,235,1.4269,103.6289
Legoland Water Park,Nusajaya,Johor,Theme Park,150,1.4262,103.6286
Hello Kitty Town,Nusajaya,Johor,Theme Park,68,1.4283,103.6294
Desaru Beach,Desaru,Johor,Beach,0,1.5333,104.25
Johor Bahru City Square,Johor Bahru,Johor,Cultural,0,1.461,103.759
Sultan Abu Bakar State Mosque,Johor Bahru,Johor,Religious,0,1.4655,103.7514
Istana Bukit Serene,Johor Bahru,Johor,Landmark,0,1.4739,103.7297
Genting SkyWorlds Theme Park,Genting Highlands,Pahang,Theme Park,180,3.4227,101.7939
Resorts World Genting,Genting Highlands,Pahang,Theme Park,0,3.4227,101.7939
